"Mnemonic","B","W","L","Pattern","DataSize","DataType"
"ORI to CCR","B",,,"0000000000111100","B","I"
"ORI to SR",,"W",,"0000000001111100","W","I"
"ORI","B","W","L","00000000XXXXXXXX","A","I"
"ANDI to CCR","B",,,"0000001000111100","B","I"
"ANDI to SR",,"W",,"0000001001111100","W","I"
"ANDI","B","W","L","00000010XXXXXXXX","A","I"
"SUBI","B","W","L","00000100XXXXXXXX","A","I"
"ADDI","B","W","L","00000110XXXXXXXX","A","I"
"EORI to CCR","B",,,"0000101000111100","B","I"
"EORI to SR",,"W",,"0000101001111100","W","I"
"EORI","B","W","L","00001010XXXXXXXX","A","I"
"CMPI","B","W","L","00001100XXXXXXXX","A","I"
"BTST","B",,"L","0000100000XXXXXX","B","N"
"BCHG","B",,"L","0000100001XXXXXX","B","N"
"BCLR","B",,"L","0000100010XXXXXX","B","N"
"BSET","B",,"L","0000100011XXXXXX","B","N"
"MOVEP",,"W","L","0000XXX1XX001XXX","W","D"
"BTST","B",,"L","0000XXX100XXXXXX","B","N"
"BCHG","B",,"L","0000XXX101XXXXXX","B","N"
"BCLR","B",,"L","0000XXX110XXXXXX","B","N"
"BSET","B",,"L","0000XXX111XXXXXX","B","N"
"MOVEA",,"W","L","00XXXXX001XXXXXX",,
"MOVE","B","W","L","00XXXXXXXXXXXXXX",,
"MOVE from SR",,"W",,"0100000011XXXXXX",,
"MOVE to CCR","B",,,"0100010011XXXXXX",,
"MOVE to SR",,"W",,"0100011011XXXXXX",,
"NEGX","B","W","L","01000000XXXXXXXX",,
"CLR","B","W","L","01000010XXXXXXXX",,
"NEG","B","W","L","01000100XXXXXXXX",,
"NOT","B","W","L","01000110XXXXXXXX",,
"EXT",,"W","L","010010001X000XXX",,
"NBCD","B",,,"0100100000XXXXXX",,
"SWAP",,"W",,"0100100001000XXX",,
"PEA",,,"L","0100100001XXXXXX",,
"ILLEGAL",,,,"0100101011111100",,
"TAS","B",,,"0100101011XXXXXX",,
"TST","B","W","L","01001010XXXXXXXX",,
"TRAP",,,,"010011100100XXXX",,
"LINK",,"W",,"0100111001010XXX","W","D"
"UNLK",,,,"0100111001011XXX",,
"MOVE USP",,,"L","010011100110XXXX",,
"RESET",,,,"0100111001110000",,
"NOP",,,,"0100111001110001",,
"STOP",,,,"0100111001110010","W","I"
"RTE",,,,"0100111001110011",,
"RTS",,,,"0100111001110101",,
"TRAPV",,,,"0100111001110110",,
"RTR",,,,"0100111001110111",,
"JSR",,,,"0100111010XXXXXX",,
"JMP",,,,"0100111011XXXXXX",,
"MOVEM",,"W","L","01001X001XXXXXXX","W","M"
"LEA",,,"L","0100XXX111XXXXXX",,
"CHK",,"W",,"0100XXX110XXXXXX",,
"DBCC",,"W",,"0101XXXX11001XXX","W","D"
"SCC","B",,,"0101XXXX11XXXXXX",,
"ADDQ","B","W","L","0101XXX0XXXXXXXX",,
"SUBQ","B","W","L","0101XXX1XXXXXXXX",,
"BRA","B","W",,"01100000XXXXXXXX","W","D"
"BSR","B","W",,"01100001XXXXXXXX","W","D"
"BCC","B","W",,"0110XXXXXXXXXXXX","W","D"
"MOVEQ",,,"L","0111XXX0XXXXXXXX",,
"DIVU",,"W",,"1000XXX011XXXXXX",,
"DIVS",,"W",,"1000XXX111XXXXXX",,
"SBCD","B",,,"1000XXX10000XXXX",,
"OR","B","W","L","1000XXXXXXXXXXXX",,
"SUB","B","W","L","1001XXXXXXXXXXXX",,
"SUBX","B","W","L","1001XXX1XX00XXXX",,
"SUBA",,"W","L","1001XXXX11XXXXXX",,
"EOR","B","W","L","1011XXX1XXXXXXXX",,
"CMPM","B","W","L","1011XXX1XX001XXX",,
"CMP","B","W","L","1011XXX0XXXXXXXX",,
"CMPA",,"W","L","1011XXXX11XXXXXX",,
"MULU",,"W",,"1100XXX011XXXXXX",,
"MULS",,"W",,"1100XXX111XXXXXX",,
"ABCD","B",,,"1100XXX10000XXXX",,
"EXG",,,"L","1100XXX1XX00XXXX",,
"AND","B","W","L","1100XXXXXXXXXXXX",,
"ADDA",,"W","L","1101XXXX11XXXXXX",,
"ADDX","B","W","L","1101XXX1XX00XXXX",,
"ADD","B","W","L","1101XXXXXXXXXXXX",,
"ASD","B","W","L","1110000X11XXXXXX",,
"LSD","B","W","L","1110001X11XXXXXX",,
"ROXD","B","W","L","1110010X11XXXXXX",,
"ROD","B","W","L","1110011X11XXXXXX",,
"ASD","B","W","L","1110XXXXXXX00XXX",,
"LSD","B","W","L","1110XXXXXXX01XXX",,
"ROXD","B","W","L","1110XXXXXXX10XXX",,
"ROD","B","W","L","1110XXXXXXX11XXX",,
"UNIMPLEMENTED",,,,"1010XXXXXXXXXXXX",,
"UNIMPLEMENTED",,,,"1111XXXXXXXXXXXX",,
"INVALID",,,,"XXXXXXXXXXXXXXXX",,
